13,1998,2.87,60,102,9,5216
5,2012,2.86,81,36,5.8,179
14,2002,2.86,87,34,8.7,111
10,2013,2.85,83,29,7.8,1530
15,1996,2.85,82,96,1,2161
8,1990,2.85,28,14,8,8390
12,1997,2.85,50,52,3,1062
6,2011,2.84,84,60,8.4,494
5,2009,2.83,85,58,6.1,90
7,2002,2.83,77,52,1,362
5,2007,2.83,96,88,8.9,2249
20,2002,2.82,97,70,9.3,747
6,2010,2.82,90,59,8.2,791
9,2003,2.82,56,89,7,8
1,2011,2.81,17,12,3,6922
15,1994,2.81,35,15,7,8706
6,2010,2.81,75,56,7.5,286
6,2012,2.81,48,41,2,9330
4,2007,2.8,54,22,7.6,7
7,2003,2.8,74,98,4,4242
13,1997,2.79,67,101,9,3786
13,1998,2.79,56,68,6,10078
7,2001,2.79,34,73,0,4922
10,2014,2.79,80,90,7.9,2944
8,1992,2.79,27,75,3,5008
13,1996,2.79,55,110,5,9862
11,2011,2.79,22,38,2,7809
7,2001,2.79,89,22,8.6,39
7,2003,2.78,87,47,8.2,241
7,2003,2.78,27,12,5,8831
6,2010,2.78,89,59,7.2,301
1,2011,2.78,81,11,5.6,31
15,2011,2.78,89,61,7.5,4926
10,2015,2.78,83,81,7.7,836
7,2003,2.77,83,33,7.7,46
6,2011,2.77,84,85,7.9,942
5,2008,2.77,73,74,6.7,389
18,2014,2.76,73,58,8,3820
4,2006,2.76,81,42,7.4,67
5,2011,2.76,84,70,7.6,490
16,1980,2.76,80,93,8,4111
8,1992,2.75,66,44,6,9675
6,2009,2.75,79,63,7.4,211
12,2000,2.73,16,42,3,4801
2,1986,2.73,32,99,6,2726
1,2007,2.73,69,44,6.6,174
6,2015,2.71,52,99,3.2,58
9,2002,2.7,95,30,9.1,314
7,2001,2.7,86,23,8.2,56
12,1998,2.7,87,92,7,3152
5,2011,2.7,89,83,7.8,893
5,2006,2.7,82,71,6.5,233
5,2011,2.69,78,55,5.9,94
7,2006,2.69,84,32,9,41
10,2013,2.69,73,88,6.8,2102
5,2010,2.69,84,47,5.7,120
7,2004,2.68,93,52,9.1,271
